Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
qc_bundle_trimmed | SRR30333746_2	SRR30333746_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42216035.0	0.0	88-151	53.0	35.493345479226285	150.39254310595487	150	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	fail
qc_bundle_trimmed | SRR30333747_1	SRR30333747_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41136868.0	0.0	115-151	51.0	41.44198204299306	150.85040419217137	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333747_2	SRR30333747_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41136868.0	0.0	80-151	52.0	41.222690402451654	150.37737029469525	150	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	fail
qc_bundle_trimmed | SRR30333748_1	SRR30333748_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65409634.0	0.0	124-151	52.0	34.688768667404574	150.85677755053635	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333748_2	SRR30333748_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65409634.0	0.0	73-151	53.0	34.54142592974324	150.40279872227995	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	fail
qc_bundle_trimmed | SRR30333749_1	SRR30333749_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53414494.0	0.0	107-151	51.0	23.467360972382345	150.88694838146364	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333749_2	SRR30333749_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53414494.0	0.0	38-151	52.0	22.570908881387485	150.84941154736015	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	fail
qc_bundle_trimmed | SRR30333750_1	SRR30333750_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52941542.0	0.0	121-151	52.0	37.84809371566401	150.83427375424765	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333750_2	SRR30333750_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52941542.0	0.0	79-151	52.0	36.954291966211265	150.39843779011952	150	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	fail
qc_bundle_trimmed | SRR30333751_1	SRR30333751_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55234926.0	0.0	120-151	52.0	36.66674194827691	150.8184976476659	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333751_2	SRR30333751_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55234926.0	0.0	80-151	52.0	35.61540352571399	150.38757443071435	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	fail
