stage,srr,module_key,module,status,severity_score
trimmed,SRR30333744,per_base_sequence_content,Per base sequence content,fail,3
trimmed,SRR30333744,per_base_sequence_quality,Per base sequence quality,pass,0
trimmed,SRR30333744,per_sequence_gc_content,Per sequence GC content,warn,1
trimmed,SRR30333744,per_sequence_quality_scores,Per sequence quality scores,pass,0
trimmed,SRR30333744,per_tile_sequence_quality,Per tile sequence quality,fail,3
trimmed,SRR30333744,sequence_duplication_levels,Sequence Duplication Levels,fail,3
trimmed,SRR30333744,sequence_length_distribution,Sequence Length Distribution,warn,1
trimmed,SRR30333745,adapter_content,Adapter Content,fail,3
trimmed,SRR30333745,basic_statistics,Basic Statistics,pass,0
trimmed,SRR30333745,overrepresented_sequences,Overrepresented sequences,warn,1
trimmed,SRR30333745,per_base_n_content,Per base N content,pass,0
trimmed,SRR30333745,per_base_sequence_content,Per base sequence content,fail,3
trimmed,SRR30333745,per_base_sequence_quality,Per base sequence quality,pass,0
trimmed,SRR30333745,per_sequence_gc_content,Per sequence GC content,warn,1
trimmed,SRR30333745,per_sequence_quality_scores,Per sequence quality scores,pass,0
trimmed,SRR30333745,per_tile_sequence_quality,Per tile sequence quality,fail,3
trimmed,SRR30333745,sequence_duplication_levels,Sequence Duplication Levels,fail,3
trimmed,SRR30333745,sequence_length_distribution,Sequence Length Distribution,warn,1
trimmed,SRR30333746,adapter_content,Adapter Content,fail,3
trimmed,SRR30333746,basic_statistics,Basic Statistics,pass,0
trimmed,SRR30333746,overrepresented_sequences,Overrepresented sequences,warn,1
trimmed,SRR30333746,per_base_n_content,Per base N content,pass,0
trimmed,SRR30333746,per_base_sequence_content,Per base sequence content,fail,3
trimmed,SRR30333746,per_base_sequence_quality,Per base sequence quality,pass,0
trimmed,SRR30333746,per_sequence_gc_content,Per sequence GC content,pass,0
trimmed,SRR30333746,per_sequence_quality_scores,Per sequence quality scores,pass,0
trimmed,SRR30333746,per_tile_sequence_quality,Per tile sequence quality,fail,3
trimmed,SRR30333746,sequence_duplication_levels,Sequence Duplication Levels,fail,3
trimmed,SRR30333746,sequence_length_distribution,Sequence Length Distribution,warn,1
trimmed,SRR30333747,adapter_content,Adapter Content,fail,3
trimmed,SRR30333747,basic_statistics,Basic Statistics,pass,0
trimmed,SRR30333747,overrepresented_sequences,Overrepresented sequences,warn,1
trimmed,SRR30333747,per_base_n_content,Per base N content,pass,0
trimmed,SRR30333747,per_base_sequence_content,Per base sequence content,fail,3
trimmed,SRR30333747,per_base_sequence_quality,Per base sequence quality,pass,0
trimmed,SRR30333747,per_sequence_gc_content,Per sequence GC content,pass,0
trimmed,SRR30333747,per_sequence_quality_scores,Per sequence quality scores,pass,0
trimmed,SRR30333747,per_tile_sequence_quality,Per tile sequence quality,fail,3
trimmed,SRR30333747,sequence_duplication_levels,Sequence Duplication Levels,fail,3
trimmed,SRR30333747,sequence_length_distribution,Sequence Length Distribution,warn,1
trimmed,SRR30333748,adapter_content,Adapter Content,fail,3
trimmed,SRR30333748,basic_statistics,Basic Statistics,pass,0
trimmed,SRR30333748,overrepresented_sequences,Overrepresented sequences,warn,1
trimmed,SRR30333748,per_base_n_content,Per base N content,pass,0
trimmed,SRR30333748,per_base_sequence_content,Per base sequence content,fail,3
trimmed,SRR30333748,per_base_sequence_quality,Per base sequence quality,pass,0
trimmed,SRR30333748,per_sequence_gc_content,Per sequence GC content,warn,1
trimmed,SRR30333748,per_sequence_quality_scores,Per sequence quality scores,pass,0
trimmed,SRR30333748,per_tile_sequence_quality,Per tile sequence quality,fail,3
