focus_read,stage,stage_label,position,position_end,max_adapter_pct
SRR30333756_2,cutadapt,cutadapt,65-69,69,0.12125999715560938
SRR30333756_2,cutadapt,cutadapt,70-74,74,0.20470683901076187
SRR30333756_2,cutadapt,cutadapt,75-79,79,0.34825742809031385
SRR30333756_2,cutadapt,cutadapt,80-84,84,0.5912217941463939
SRR30333756_2,cutadapt,cutadapt,85-89,89,1.0032136511987513
SRR30333756_2,cutadapt,cutadapt,90-94,94,1.6871519640891672
SRR30333756_2,cutadapt,cutadapt,95-99,99,2.7658322812249376
SRR30333756_2,cutadapt,cutadapt,100-104,104,4.369902364327187
SRR30333756_2,cutadapt,cutadapt,105-109,109,6.60055059716465
SRR30333756_2,cutadapt,cutadapt,110-114,114,9.500354376180145
SRR30333756_2,cutadapt,cutadapt,115-119,119,12.999846465447595
SRR30333756_2,cutadapt,cutadapt,120-124,124,17.004291334971104
SRR30333756_2,cutadapt,cutadapt,125-129,129,21.329653249527016
SRR30333756_2,cutadapt,cutadapt,130-134,134,25.83009022536251
SRR30333756_2,cutadapt,cutadapt,135-139,139,30.29866780436806
SRR30333756_2,cutadapt,cutadapt,140,140,31.883106942730418
SRR30333743_1,raw,Raw FASTQ,1,1,2.595026942268376e-05
SRR30333743_1,raw,Raw FASTQ,2,2,4.7908189703416166e-05
SRR30333743_1,raw,Raw FASTQ,3,3,7.785080826805127e-05
SRR30333743_1,raw,Raw FASTQ,4,4,0.00013374369625537014
SRR30333743_1,raw,Raw FASTQ,5,5,0.00019961745709756737
SRR30333743_1,raw,Raw FASTQ,6,6,0.00031938793135610777
SRR30333743_1,raw,Raw FASTQ,7,7,0.0003672961210595239
SRR30333743_1,raw,Raw FASTQ,8,8,0.0004591201513244049
SRR30333743_1,raw,Raw FASTQ,9,9,0.0005389671341634319
SRR30333743_1,raw,Raw FASTQ,10-14,14,0.0009637530828670553
SRR30333743_1,raw,Raw FASTQ,15-19,19,0.001387341326828093
SRR30333743_1,raw,Raw FASTQ,20-24,24,0.0016628134176227363
SRR30333743_1,raw,Raw FASTQ,25-29,29,0.0024105804119102237
SRR30333743_1,raw,Raw FASTQ,30-34,34,0.005796491719199161
SRR30333743_1,raw,Raw FASTQ,35-39,39,0.015925480727243924
SRR30333743_1,raw,Raw FASTQ,40-44,44,0.04126531996612333
SRR30333743_1,raw,Raw FASTQ,45-49,49,0.08274103673202748
SRR30333743_1,raw,Raw FASTQ,50-54,54,0.15864437708863488
SRR30333743_1,raw,Raw FASTQ,55-59,59,0.2741885505455056
SRR30333743_1,raw,Raw FASTQ,60-64,64,0.451928732815008
SRR30333743_1,raw,Raw FASTQ,65-69,69,0.722322954736003
SRR30333743_1,raw,Raw FASTQ,70-74,74,1.1166955869111552
SRR30333743_1,raw,Raw FASTQ,75-79,79,1.71904365911255
SRR30333743_1,raw,Raw FASTQ,80-84,84,2.617788921666297
SRR30333743_1,raw,Raw FASTQ,85-89,89,3.9521541707901813
SRR30333743_1,raw,Raw FASTQ,90-94,94,5.869263860123736
SRR30333743_1,raw,Raw FASTQ,95-99,99,8.506161362488154
SRR30333743_1,raw,Raw FASTQ,100-104,104,11.944831563687979
SRR30333743_1,raw,Raw FASTQ,105-109,109,16.143882586289287
SRR30333743_1,raw,Raw FASTQ,110-114,114,20.97281531618437
SRR30333743_1,raw,Raw FASTQ,115-119,119,26.166203610724477
SRR30333743_1,raw,Raw FASTQ,120-124,124,31.51892057099615
SRR30333743_1,raw,Raw FASTQ,125-129,129,36.78531735353005
SRR30333743_1,raw,Raw FASTQ,130-134,134,41.82309665403414
SRR30333743_1,raw,Raw FASTQ,135-139,139,46.53601012092446
SRR30333743_1,raw,Raw FASTQ,140,140,49.21006681216251
SRR30333743_1,fastx,Current FASTX trimmed,1,1,2.595026942268376e-05
SRR30333743_1,fastx,Current FASTX trimmed,2,2,4.7908189703416166e-05
SRR30333743_1,fastx,Current FASTX trimmed,3,3,7.785080826805127e-05
SRR30333743_1,fastx,Current FASTX trimmed,4,4,0.00013374369625537014
SRR30333743_1,fastx,Current FASTX trimmed,5,5,0.00019961745709756737
